X_km,Y_km,Z_km
-2.088085558987417817e+08,2.071547129307805002e+07,1.483259161943352968e+07
-2.094334998703707457e+08,1.893268757609188557e+07,1.403242020644896477e+07
-2.100361313130402267e+08,1.714788663296517730e+07,1.323075372963859141e+07
-2.106165112774515450e+08,1.536126884142251313e+07,1.242768548820081353e+07
-2.111747019054293633e+08,1.357303249799640477e+07,1.162330785648929328e+07
-2.117107663924023509e+08,1.178337384580484033e+07,1.081771229576865584e+07
-2.122247689510695338e+08,9.992487102243646979e+06,1.001098936596177518e+07
-2.127167747762253881e+08,8.200564486585855484e+06,9.203228737383961678e+06
-2.131868500107128620e+08,6.407796247467577457e+06,8.394519202454268932e+06
-2.136350617124790549e+08,4.614370690256685019e+06,7.584948687381274998e+06
-2.140614778227021694e+08,2.820474204284772277e+06,6.774604263813748956e+06
-2.144661671349673271e+08,1.026291289936617017e+06,5.963572160452939570e+06
-2.148491992654602528e+08,-7.679954144152998924e+05,5.151937774620018899e+06
-2.152106446241584420e+08,-2.562205105638146400e+06,4.339785683774970472e+06
-2.155505743869879842e+08,-4.356158789240434766e+06,3.527199656980372965e+06
-2.158690604689277411e+08,-6.149679252952441573e+06,2.714262666307643056e+06
-2.161661754980331063e+08,-7.942591040494590998e+06,1.901056898180797696e+06
-2.164419927903569341e+08,-9.734720425539866090e+06,1.087663764654360712e+06
-2.166965863257446885e+08,-1.152589538587826490e+07,2.741639146211147308e+05
-2.169300307244808078e+08,-1.331594557778649032e+07,-5.393627550522014499e+05
-2.171424012247663140e+08,-1.510470231060934067e+07,-1.352837088464915752e+06
-2.173337736610036492e+08,-1.689199852155943215e+07,-2.166180659701645374e+06
-2.175042244428702891e+08,-1.867766875073570013e+07,-2.979315761931560934e+06
-2.176538305351587534e+08,-2.046154911636954546e+07,-3.792165396592155099e+06
-2.177826694383659363e+08,-2.224347729029585421e+07,-4.604653262656800449e+06
-2.178908191700104475e+08,-2.402329247365961969e+07,-5.416703745991513133e+06
-2.179783582466584742e+08,-2.580083537285529077e+07,-6.228241908800184727e+06
-2.180453656666432619e+08,-2.757594817570197582e+07,-7.039193479159854352e+06
-2.180919208934573829e+08,-2.934847452786019444e+07,-7.849484840649485588e+06
-2.181181038398008347e+08,-3.111825950948791206e+07,-8.659043022071488202e+06
-2.181239948522701561e+08,-3.288514961214044690e+07,-9.467795687268324196e+06
-2.181096746966694891e+08,-3.464899271591338515e+07,-1.027567112503456324e+07
-2.180752245439299345e+08,-3.640963806683084369e+07,-1.108259823912569135e+07
-2.180207259566200376e+08,-3.816693625447933376e+07,-1.188850653836411983e+07
-2.179462608760331273e+08,-3.992073918988794088e+07,-1.269332612684324384e+07
-2.178519116098364592e+08,-4.167090008365671337e+07,-1.349698769423069805e+07
-2.177377608202694654e+08,-4.341727342432969809e+07,-1.429942250616967678e+07
-2.176038915128738880e+08,-4.515971495701596141e+07,-1.510056239477997273e+07
-2.174503870257459879e+08,-4.689808166225878894e+07,-1.590033974925938249e+07
-2.172773310192955136e+08,-4.863223173514871299e+07,-1.669868750658378005e+07
-2.170848074664998055e+08,-5.036202456468482316e+07,-1.749553914230804890e+07
-2.168729006436401904e+08,-5.208732071337980032e+07,-1.829082866146635264e+07
-2.166416951215088367e+08,-5.380798189711074531e+07,-1.908449058957287669e+07
-2.163912757570743263e+08,-5.552387096521292627e+07,-1.987645996372193098e+07
-2.161217276855955124e+08,-5.723485188081680238e+07,-2.066667232378806174e+07
-2.158331363131718338e+08,-5.894078970142610371e+07,-2.145506370372527093e+07
-2.155255873097195029e+08,-6.064155055973605812e+07,-2.224157062296533585e+07
-2.151991666023634970e+08,-6.233700164469343424e+07,-2.302613007791602612e+07
-2.148539603692362309e+08,-6.402701118278989196e+07,-2.380867953355597705e+07
-2.144900550336733758e+08,-6.571144841959452629e+07,-2.458915691512863338e+07
-2.141075372587934136e+08,-6.739018360152266920e+07,-2.536750059993466735e+07
-2.137064939424589276e+08,-6.906308795783315599e+07,-2.614364940921917185e+07
-2.132870122126049101e+08,-7.073003368286336958e+07,-2.691754260015836358e+07
-2.128491794229288995e+08,-7.239089391848817468e+07,-2.768911985793944821e+07
-2.123930831489332020e+08,-7.404554273681159317e+07,-2.845832128793798015e+07
-2.119188111843119264e+08,-7.569385512308336794e+07,-2.922508740798949450e+07
-2.114264515376747847e+08,-7.733570695884004235e+07,-2.998935914075521007e+07
-2.109160924296016097e+08,-7.897097500526869297e+07,-3.075107780618113279e+07
-2.103878222900169194e+08,-8.059953688679404557e+07,-3.151018511405132711e+07
-2.098417297558834851e+08,-8.222127107488107681e+07,-3.226662315663164109e+07
-2.092779036692017615e+08,-8.383605687205758691e+07,-3.302033440140630677e+07
-2.086964330753132701e+08,-8.544377439615190029e+07,-3.377126168390515447e+07
-2.080974072214995325e+08,-8.704430456474377215e+07,-3.451934820062109083e+07
-2.074809155558726788e+08,-8.863752907982575893e+07,-3.526453750201609731e+07
-2.068470477265478075e+08,-9.022333041267707944e+07,-3.600677348561772704e+07
-2.061958935810970068e+08,-9.180159178894358873e+07,-3.674600038920228928e+07
-2.055275431662757397e+08,-9.337219717392227054e+07,-3.748216278406518698e+07
-2.048420867280177474e+08,-9.493503125805248320e+07,-3.821520556837850809e+07
-2.041396147116931379e+08,-9.648997944260871410e+07,-3.894507396063456684e+07
-2.034202177626251578e+08,-9.803692782559251785e+07,-3.967171349317371100e+07
-2.026839866596018076e+08,-9.957576326410359144e+07,-4.039507004244180024e+07
-2.019310125999344587e+08,-1.011063730380077958e+08,-4.111508966771128774e+07
-2.011613867492635846e+08,-1.026286453501277566e+08,-4.183171885160663724e+07
-2.003752005633850694e+08,-1.041424689476362169e+08,-4.254490431852980703e+07
-1.995725457042992115e+08,-1.056477332069221735e+08,-4.325459307566338778e+07
-1.987535140421994627e+08,-1.071443281206339300e+08,-4.396073240698795021e+07
-1.979181976576812863e+08,-1.086321442849213183e+08,-4.466326986738460511e+07
-1.970666888441877365e+08,-1.101110728868545890e+08,-4.536215327681279182e+07
-1.961990801106724143e+08,-1.115810056920330822e+08,-4.605733071456898749e+07
-1.953154641844851971e+08,-1.130418350323774219e+08,-4.674875051362403482e+07
-1.944159340144754350e+08,-1.144934537941018045e+08,-4.743636125503709912e+07
-1.935005827743096352e+08,-1.159357554058675319e+08,-4.812011176244732738e+07
-1.925695038660014272e+08,-1.173686338271150887e+08,-4.879995109664168209e+07
-1.916227909236512482e+08,-1.187919835365740955e+08,-4.947582855019882321e+07
-1.906605378173933625e+08,-1.202056995209479928e+08,-5.014769364220777154e+07
-1.896828386575481892e+08,-1.216096772637738585e+08,-5.081549611306141317e+07
-1.886897877989755273e+08,-1.230038127344574928e+08,-5.147918591932506859e+07
-1.876814798456330895e+08,-1.243880023774754852e+08,-5.213871322867642343e+07
-1.866580096553293765e+08,-1.257621431017532200e+08,-5.279402841492076218e+07
-1.856194723446771204e+08,-1.271261322702099234e+08,-5.344508205307771266e+07
-1.845659632942415476e+08,-1.284798676894715875e+08,-5.409182491453991085e+07
