X_km,Y_km,Z_km
-1.758284346365965009e+08,-1.441284570489766300e+08,-6.134173286084713042e+07
-1.743485345651672482e+08,-1.453728218073351383e+08,-6.195242588385500014e+07
-1.728552219481240213e+08,-1.466060468654218614e+08,-6.255837108464595675e+07
-1.713485810632187128e+08,-1.478280115251449943e+08,-6.315951082746025920e+07
-1.698286975382335186e+08,-1.490385953446408510e+08,-6.375578755767010152e+07
-1.682956583574463725e+08,-1.502376781498726904e+08,-6.434714380693054199e+07
-1.667495518681140840e+08,-1.514251400463283658e+08,-6.493352219837518781e+07
-1.651904677868427336e+08,-1.526008614309176803e+08,-6.551486545190638304e+07
-1.636184972058654726e+08,-1.537647230040611923e+08,-6.609111638957517594e+07
-1.620337325992350578e+08,-1.549166057819532156e+08,-6.666221794104354829e+07
-1.604362678289652467e+08,-1.560563911089840829e+08,-6.722811314912074804e+07
-1.588261981510956883e+08,-1.571839606703410745e+08,-6.778874517538316548e+07
-1.572036202216167450e+08,-1.582991965048314631e+08,-6.834405730589985847e+07
-1.555686321023992300e+08,-1.594019810178324282e+08,-6.889399295701551437e+07
-1.539213332669724524e+08,-1.604921969944800138e+08,-6.943849568124698102e+07
-1.522618246062553227e+08,-1.615697276130235493e+08,-6.997750917325629294e+07
-1.505902084341790378e+08,-1.626344564583919346e+08,-7.051097727592331171e+07
-1.489065884932431579e+08,-1.636862675359493494e+08,-7.103884398650690913e+07
-1.472110699599247873e+08,-1.647250452854886353e+08,-7.156105346291784942e+07
-1.455037594500619173e+08,-1.657506745953879952e+08,-7.207755003006713092e+07
-1.437847650240586996e+08,-1.667630408170275688e+08,-7.258827818633733690e+07
-1.420541961919881999e+08,-1.677620297794180214e+08,-7.309318261015336215e+07
-1.403121639186112881e+08,-1.687475278040278256e+08,-7.359220816664579511e+07
-1.385587806282226145e+08,-1.697194217198568881e+08,-7.408529991443105042e+07
-1.367941602093469203e+08,-1.706775988787466884e+08,-7.457240311250331998e+07
-1.350184180193440616e+08,-1.716219471708810627e+08,-7.505346322721596062e+07
-1.332316708887730539e+08,-1.725523550405625999e+08,-7.552842593939450383e+07
-1.314340371256595701e+08,-1.734687115021759272e+08,-7.599723715153820813e+07
-1.296256365195429176e+08,-1.743709061564020813e+08,-7.645984299514162540e+07
-1.278065903453287482e+08,-1.752588292066600025e+08,-7.691618983812563121e+07
-1.259770213669912517e+08,-1.761323714757475257e+08,-7.736622429236355424e+07
-1.241370538410330266e+08,-1.769914244227239788e+08,-7.780989322132493556e+07
-1.222868135197635442e+08,-1.778358801599937975e+08,-7.824714374781605601e+07
-1.204264276543138176e+08,-1.786656314706264734e+08,-7.867792326183682680e+07
-1.185560249975116402e+08,-1.794805718258486986e+08,-7.910217942852048576e+07
-1.166757358064057678e+08,-1.802805954027974308e+08,-7.951986019620318711e+07
-1.147856918447093666e+08,-1.810655971024108529e+08,-7.993091380455997586e+07
-1.128860263848805875e+08,-1.818354725675756633e+08,-8.033528879286871850e+07
-1.109768742099757344e+08,-1.825901182014627755e+08,-8.073293400836786628e+07
-1.090583716153710186e+08,-1.833294311860167384e+08,-8.112379861468946934e+07
-1.071306564100623131e+08,-1.840533095007054508e+08,-8.150783210042357445e+07
-1.051938679178308249e+08,-1.847616519414181411e+08,-8.188498428775596619e+07
-1.032481469781278819e+08,-1.854543581395630240e+08,-8.225520534120614827e+07
-1.012936359466444850e+08,-1.861313285813773274e+08,-8.261844577647173405e+07
