JulianDate	X	Y	Z	VX	VY	VZ
2455398.5	70761647.2645821	-133939995.717483	5356.42433412373	25.8033591972261	13.8728924037246	-0.00116848894981292
2455399.5	72980832.5882658	-132722614.502259	5248.19527410716	25.5655532186115	14.3065494442528	-0.00132843458436582
2455400.5	75179182.6802056	-131467941.048041	5128.37013548613	25.3210734653233	14.7361411778825	-0.00143640784265564
2455401.5	77356123.5097588	-130176326.058581	5001.53511360288	25.0699758735584	15.1616786992804	-0.00149059974005627
2455402.5	79511084.9316919	-128848119.679999	4872.33108218014	24.8122950758655	15.5831633332974	-0.00149150517897922
2455403.5	81643499.0076057	-127483672.462326	4745.26717723161	24.5480481515373	16.0005840245594	-0.0014416283377976
2455404.5	83752798.6539272	-126083336.516909	4624.56064026058	24.2772384572977	16.4139154408841	-0.00134516701695198
2455405.5	85838416.6242559	-124647466.799309	4514.00496632606	23.9998595030483	16.8231170019787	-0.00120767543738687
2455406.5	87899784.8174318	-123176422.430341	4416.86721760035	23.7158985427916	17.2281329732875	-0.00103573283822378
2455407.5	89936333.8664092	-121670567.966057	4335.81211342663	23.4253394020341	17.6288935085065	-0.000836663264201398
2455408.5	91947492.9222958	-120130274.55091	4272.84640433639	23.1281641096489	18.0253162169192	-0.000618353227634039
2455409.5	93932689.5188062	-118555920.936507	4229.27353904396	22.8243531153819	18.4173075785094	-0.000389199189264389
2455410.5	95891349.396886	-116947894.414207	4205.64695363492	22.5138841999001	18.8047633781377	-0.000158190105340239
2455411.5	97822896.1956732	-115306591.783973	4201.71136187017	22.1967305965043	19.1875672910034	6.49061613255952e-05
2455412.5	99726750.9823454	-113632420.553496	4216.32611373067	21.8728593635146	19.5655868611672	0.000269332331401806
2455413.5	101602331.710238	-111925800.613033	4247.37425082922	21.5422316899001	19.938666506298	0.000443251352806762
2455414.5	103449052.869059	-110187166.62784	4291.67656736076	21.2048074666248	20.3066181141032	0.000573994815194823
2455415.5	105266325.806981	-108416971.272413	4344.95135688782	20.8605566496023	20.6692115321177	0.000648916177754977
2455416.5	107053560.385284	-106615689.130935	4401.88192465901	20.5094787514344	21.0261696362215	0.000657049928550535
2455417.5	108810168.60759	-104783820.594773	4456.36086120456	20.1516282649711	21.3771744317343	0.000591492310114461
2455418.5	110535570.445886	-102921894.557267	4501.95172674954	19.7871383544124	21.7218892536657	0.000451905841569733
2455419.5	112229201.22031	-101030468.51382	4532.53470814973	19.4162311299006	22.0599955952075	0.000246076298708431
2455420.5	113890518.929193	-99110125.2119012	4543.00749753416	19.0392053816737	22.3912336321576	-1.0484838888658e-05
2455421.5	115519009.544449	-97161466.2206655	4529.85717550665	18.6564030435875	22.715430436535	-0.00029705753100373
2455422.5	117114188.921881	-95185104.0244036	4491.45418334007	18.2681671067438	23.0325050770308	-0.00059139914251638
2455423.5	118675601.293324	-93181654.6672149	4428.03005577624	17.8748069047534	23.3424520058593	-0.000873148994658735
2455424.5	120202815.445987	-91151732.3958546	4341.41268175095	17.4765799704956	23.645313566736	-0.00112593822311702
2455425.5	121695420.059861	-89095946.7099676	4234.64373955503	17.0736899458585	23.9411533928141	-0.00133804540074145
2455426.5	123153019.340414	-87014901.4096109	4111.58742755651	16.6662942988124	24.230037361959	-0.00150204031069023
2455427.5	124575229.495582	-84909194.9102078	3976.59255934507	16.2545152060084	24.5120231154447	-0.00161399267385676
2455428.5	125961676.126903	-82779421.1663834	3834.22596077248	15.8384493618381	24.7871559647652	-0.00167266328674742
2455429.5	127311992.355495	-80626170.7782517	3689.06874883547	15.4181750813573	25.0554683110846	-0.00167887395536326
2455430.5	128625817.443299	-78450032.0810588	3545.55770121142	14.9937567588851	25.3169803124868	-0.00163509034926967
2455431.5	129902795.713364	-76251592.1738465	3407.85508961603	14.5652474900577	25.5717004852457	-0.00154516863462284
2455432.5	131142575.651081	-74031437.9190745	3279.73598553985	14.1326907806148	25.8196257476941	-0.00141419220603289
2455433.5	132344809.140132	-71790156.9617386	3164.4881506227	13.6961220455618	26.0607409653214	-0.00124833502653487
2455434.5	133509150.832813	-69528338.7980285	3064.82400713116	13.2555702472718	26.2950183208145	-0.00105471524582512
2455435.5	134635257.668835	-67246575.8934757	2982.8059655875	12.8110596686749	26.522416843688	-0.000841233927674878
2455436.5	135722788.544697	-64945464.8284419	2919.78568475694	12.3626115724422	26.7428822503675	-0.000616418483458503
2455437.5	136771404.109857	-62625607.4479176	2876.35556410998	11.9102454288	26.956346955115	-0.00038930109405122
2455438.5	137780766.642813	-60287612.0177164	2852.3083326593	11.4539795287032	27.1627298177083	-0.000169355111433234
2455439.5	138750539.957098	-57932094.4363565	2846.5995879285	10.9938311219316	27.3619349920674	3.3513079822356e-05
2455440.5	139680389.3189	-55559679.6093984	2857.31005915254	10.5298166976717	27.5538492189629	0.000208961234200444
2455441.5	140569981.436127	-53171003.140833	2881.61052913964	10.0619536086365	27.7383371717293	0.00034629739848846
