aoa[deg],-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
cl/cd[-],-5.5,-5.5,-5,-5,-4.5,-4,-3.5,-3,-2,-1,0,0.75,1.75,3.25,4.75,6.25,8,9.5,11.25,12.25,12.75,12.75,12.25,11.75,11,10,8.5,7,5,4,3
Snippet 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.22,28.32,-1.14,5447.68,4.8,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.21,28.62,-1.08,5413.44,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.2,28.89,-1.05,5379.6,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.18,29.15,-0.98,5407.6,4.9,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.17,29.4,-0.95,5391.52,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.16,29.62,-0.93,5360.54,4.9,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.14,29.85,-0.86,5398.1,5,0,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.13,30.06,-0.79,5384.6,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.11,30.27,-0.72,5392.22,5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.09,30.46,-0.63,5344.53,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.07,30.64,-0.56,5335.95,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.05,30.8,-0.54,5322.31,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.03,30.96,-0.52,5372.01,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,-4.01,31.11,-0.54,5380.12,5,0.2,,,,,,,,,,,,,,,,,,,,,,,
